,average_words,avg_std_words,average_topics,std_topics,score_avg,weighted_avg,average_rank,std_rank,total
0,0.00886607592091177,0.011759687319261853,0.3301468745795173,0.04648520832455566,0.006433846258326037,0.008628778214417807,9.375,7.287617923574205,6
1,0.009610152711209812,0.012279056758720189,0.3003550104083005,0.04952186526588764,,,,,0
2,0.009971994365214837,0.012565358720968303,0.3169678845434707,0.03866033021037791,0.006847476612895429,0.008838416978367033,10.375,8.092241654819757,3
3,0.011652088327882674,0.012239906739768337,0.40082884237345856,0.026676232530326135,0.004857492982149247,0.0068299321768426485,12.714285714285714,6.474439539214091,3
4,0.009664650728869463,0.012215404828572187,0.38872799523118073,0.02787930516404896,0.006220269856236094,0.008588350920188607,11.166666666666666,7.61394918700028,6
5,0.012283081037630672,0.009278971035580357,0.4846772163675201,0.036935310652668654,0.0051293420283288075,0.007577525446657932,12.875,4.807221130757353,5
6,0.01782903423073316,0.01697362669104649,0.5119836943236906,0.08682140820802522,0.006344263174859236,0.009542753061373664,12.1,6.410148204214938,4
7,0.009552628393503407,0.012589158590730964,0.3552522705613135,0.07036110822278917,0.007245597452030836,0.009843828574302552,7.125,5.622221536012255,3
8,0.00844263174956405,0.009416833977357564,0.4077347868106874,0.0353736738436336,0.00810228382009049,0.011259365274134415,9.0,6.27162924074226,4
9,0.009216355240417806,0.010642223504361458,0.4198966499851807,0.09581218063833627,0.005785318249139511,0.008895976267163236,14.0,6.683312551921141,2
10,0.00964108189701829,0.010910376901623737,0.536003912687274,0.03889368420863333,0.005845752026945252,0.009061053117265365,12.777777777777779,7.899054483189432,4
