,average_words,avg_std_words,average_topics,std_topics,score_avg,weighted_avg,average_rank,std_rank,total
0,0.00886607592091177,0.011759687319261853,0.3301468745795173,0.04648520832455566,0.014221722589078759,0.019324210227122725,7.3,4.583666654546335,7
1,0.009610152711209812,0.012279056758720189,0.3003550104083005,0.04952186526588764,,,,,0
2,0.009971994365214837,0.012565358720968303,0.3169678845434707,0.03866033021037791,0.00547815410173539,0.007077353877858993,12.5,6.020797289396148,3
3,0.011652088327882674,0.012239906739768337,0.40082884237345856,0.026676232530326135,0.01237314826716073,0.01714712714564288,12.0,6.683312551921141,3
4,0.009664650728869463,0.012215404828572187,0.38872799523118073,0.02787930516404896,0.01359766409273168,0.018703372052425074,8.545454545454545,5.773979821163788,7
5,0.012283081037630672,0.009278971035580357,0.4846772163675201,0.036935310652668654,0.010033638226348661,0.01490838495100886,13.333333333333334,6.82316316348624,4
6,0.01782903423073316,0.01697362669104649,0.5119836943236906,0.08682140820802522,0.004313110858511132,0.007612900453317614,9.5,5.5,1
7,0.009552628393503407,0.012589158590730964,0.3552522705613135,0.07036110822278917,0.019223682268960218,0.024853930135127003,9.666666666666666,7.738791177495933,3
8,0.00844263174956405,0.009416833977357564,0.4077347868106874,0.0353736738436336,0.005072750092494685,0.007235078624890771,10.0,1.0,1
9,0.009216355240417806,0.010642223504361458,0.4198966499851807,0.09581218063833627,0.010687317280757256,0.01698202240430165,3.0,0.0,1
10,0.00964108189701829,0.010910376901623737,0.536003912687274,0.03889368420863333,0.014961705761616456,0.022828286667803545,7.0,5.639148871948674,5
